"scen_id","n","pi0","power","alpha","method","mean_fdp","exceed","H","delta_ecdf","tau","alpha_cqr","max_weight"
"L6",5,0.7,0.2,0.01,"SCOUT_safe",0.04,0.04,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L6",5,0.7,0.2,0.01,"SCOUT_both",0.09,0.09,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L6",5,0.7,0.2,0.01,"SCOUT_confOnly",0.09,0.09,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L6",5,0.7,0.2,0.05,"BH",0.095,0.11,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L6",5,0.7,0.2,0.05,"Storey",0.15,0.17,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L6",5,0.7,0.2,0.05,"SCOUT_safe",0.25,0.28,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L6",5,0.7,0.2,0.05,"SCOUT_both",0.334476190476191,0.37,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L6",5,0.7,0.2,0.05,"SCOUT_confOnly",0.286,0.32,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L6",5,0.7,0.2,0.1,"BH",0.1955,0.23,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L6",5,0.7,0.2,0.1,"Storey",0.210833333333333,0.25,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L6",5,0.7,0.2,0.1,"SCOUT_safe",0.373833333333333,0.46,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L6",5,0.7,0.2,0.1,"SCOUT_both",0.486920634920635,0.62,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L6",5,0.7,0.2,0.1,"SCOUT_confOnly",0.419272893772894,0.54,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L7",5,0.2,0.35,0.01,"BH",0.0125,0.03,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L7",5,0.2,0.35,0.01,"Storey",0.0932662337662338,0.24,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L7",5,0.2,0.35,0.01,"SCOUT_safe",0.0699404761904762,0.14,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L7",5,0.2,0.35,0.01,"SCOUT_both",0.165558744613878,0.81,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L7",5,0.2,0.35,0.01,"SCOUT_confOnly",0.195736461590639,0.87,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L7",5,0.2,0.35,0.05,"BH",0.206244787296963,0.9,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L7",5,0.2,0.35,0.05,"Storey",0.199857691787484,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L7",5,0.2,0.35,0.05,"SCOUT_safe",0.207942304863503,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L7",5,0.2,0.35,0.05,"SCOUT_both",0.200233584392706,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L7",5,0.2,0.35,0.05,"SCOUT_confOnly",0.199659674050603,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L7",5,0.2,0.35,0.1,"BH",0.205606447901086,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L7",5,0.2,0.35,0.1,"Storey",0.20063225113926,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L7",5,0.2,0.35,0.1,"SCOUT_safe",0.203029797290836,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L7",5,0.2,0.35,0.1,"SCOUT_both",0.200429646249123,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L7",5,0.2,0.35,0.1,"SCOUT_confOnly",0.200547412459025,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L8",5,0.4,0.35,0.01,"BH",0.11,0.13,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L8",5,0.4,0.35,0.01,"Storey",0.1695,0.24,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L8",5,0.4,0.35,0.01,"SCOUT_safe",0.187833333333333,0.24,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L8",5,0.4,0.35,0.01,"SCOUT_both",0.325776556776557,0.57,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L8",5,0.4,0.35,0.01,"SCOUT_confOnly",0.298060966810967,0.54,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L8",5,0.4,0.35,0.05,"BH",0.320223758693074,0.73,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L8",5,0.4,0.35,0.05,"Storey",0.390117386908738,0.98,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L8",5,0.4,0.35,0.05,"SCOUT_safe",0.39122831497283,0.94,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L8",5,0.4,0.35,0.05,"SCOUT_both",0.399224030954253,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L8",5,0.4,0.35,0.05,"SCOUT_confOnly",0.399148900443392,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L8",5,0.4,0.35,0.1,"BH",0.401519735200912,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L8",5,0.4,0.35,0.1,"Storey",0.39814746868214,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L8",5,0.4,0.35,0.1,"SCOUT_safe",0.396593332440038,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L8",5,0.4,0.35,0.1,"SCOUT_both",0.398892350721801,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L8",5,0.4,0.35,0.1,"SCOUT_confOnly",0.398466216725012,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L9",5,0.7,0.35,0.01,"BH",0.065,0.07,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L9",5,0.7,0.35,0.01,"Storey",0.085,0.09,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L9",5,0.7,0.35,0.01,"SCOUT_safe",0.145,0.16,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L9",5,0.7,0.35,0.01,"SCOUT_both",0.211666666666667,0.23,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L9",5,0.7,0.35,0.01,"SCOUT_confOnly",0.221666666666667,0.23,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L9",5,0.7,0.35,0.05,"BH",0.408154456654457,0.49,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L9",5,0.7,0.35,0.05,"Storey",0.437342414938003,0.56,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L9",5,0.7,0.35,0.05,"SCOUT_safe",0.522869047619048,0.68,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L9",5,0.7,0.35,0.05,"SCOUT_both",0.638199317241365,0.89,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L9",5,0.7,0.35,0.05,"SCOUT_confOnly",0.601285272232641,0.85,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L9",5,0.7,0.35,0.1,"BH",0.632603667828355,0.88,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L9",5,0.7,0.35,0.1,"Storey",0.663817227512018,0.92,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L9",5,0.7,0.35,0.1,"SCOUT_safe",0.658947482629688,0.94,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L9",5,0.7,0.35,0.1,"SCOUT_both",0.689711375883577,0.99,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L9",5,0.7,0.35,0.1,"SCOUT_confOnly",0.679523143515005,0.99,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L10",8,0.2,0.35,0.01,"BH",0.138497474747475,0.41,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L10",8,0.2,0.35,0.01,"Storey",0.197059536965753,0.94,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L10",8,0.2,0.35,0.01,"SCOUT_safe",0.175430149482142,0.66,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L10",8,0.2,0.35,0.01,"SCOUT_both",0.198793402952266,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L10",8,0.2,0.35,0.01,"SCOUT_confOnly",0.197516530140053,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L10",8,0.2,0.35,0.05,"BH",0.198713098348,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L10",8,0.2,0.35,0.05,"Storey",0.198479661402722,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L10",8,0.2,0.35,0.05,"SCOUT_safe",0.198742252166827,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L10",8,0.2,0.35,0.05,"SCOUT_both",0.198987901775978,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L10",8,0.2,0.35,0.05,"SCOUT_confOnly",0.198442589995487,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L10",8,0.2,0.35,0.1,"BH",0.200918588352436,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L10",8,0.2,0.35,0.1,"Storey",0.201144016608668,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L10",8,0.2,0.35,0.1,"SCOUT_safe",0.20076921025215,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L10",8,0.2,0.35,0.1,"SCOUT_both",0.200515495701797,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L10",8,0.2,0.35,0.1,"SCOUT_confOnly",0.200388406489914,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L11",8,0.4,0.35,0.01,"BH",0.234616883116883,0.4,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L11",8,0.4,0.35,0.01,"Storey",0.338479984173533,0.67,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L11",8,0.4,0.35,0.01,"SCOUT_safe",0.367499341238472,0.64,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L11",8,0.4,0.35,0.01,"SCOUT_both",0.392184647109984,0.93,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L11",8,0.4,0.35,0.01,"SCOUT_confOnly",0.400122385960382,0.91,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L11",8,0.4,0.35,0.05,"BH",0.406273013264031,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L11",8,0.4,0.35,0.05,"Storey",0.399974604220414,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L11",8,0.4,0.35,0.05,"SCOUT_safe",0.400339537948128,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L11",8,0.4,0.35,0.05,"SCOUT_both",0.400557748795843,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L11",8,0.4,0.35,0.05,"SCOUT_confOnly",0.40106027167068,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L11",8,0.4,0.35,0.1,"BH",0.395373430365681,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L11",8,0.4,0.35,0.1,"Storey",0.397805707714818,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
