"scen_id","n","pi0","power","alpha","method","mean_fdp","exceed","H","delta_ecdf","tau","alpha_cqr","max_weight"
"L9",5,0.7,0.35,0.1,"BH",0.615940421578312,0.83,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L9",5,0.7,0.35,0.1,"Storey",0.659002999668547,0.93,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L9",5,0.7,0.35,0.1,"SCOUT_safe",0.689113930414206,0.99,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L9",5,0.7,0.35,0.1,"SCOUT_both",0.694911158193494,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L9",5,0.7,0.35,0.1,"SCOUT_confOnly",0.696158766363009,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L10",8,0.2,0.35,0.01,"BH",0.141640734265734,0.42,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L10",8,0.2,0.35,0.01,"Storey",0.192554399502877,0.91,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L10",8,0.2,0.35,0.01,"SCOUT_safe",0.19707366728924,0.91,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L10",8,0.2,0.35,0.01,"SCOUT_both",0.200035216817355,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L10",8,0.2,0.35,0.01,"SCOUT_confOnly",0.196603475420923,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L10",8,0.2,0.35,0.05,"BH",0.201392354731056,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L10",8,0.2,0.35,0.05,"Storey",0.199978334923212,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L10",8,0.2,0.35,0.05,"SCOUT_safe",0.198932140820382,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L10",8,0.2,0.35,0.05,"SCOUT_both",0.198526081177157,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L10",8,0.2,0.35,0.05,"SCOUT_confOnly",0.199568571746545,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L10",8,0.2,0.35,0.1,"BH",0.201087151993037,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L10",8,0.2,0.35,0.1,"Storey",0.20029082100165,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L10",8,0.2,0.35,0.1,"SCOUT_safe",0.199967060173914,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L10",8,0.2,0.35,0.1,"SCOUT_both",0.19946586301859,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L10",8,0.2,0.35,0.1,"SCOUT_confOnly",0.199630220408893,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L11",8,0.4,0.35,0.01,"BH",0.210833333333333,0.36,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L11",8,0.4,0.35,0.01,"Storey",0.292741882873462,0.59,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L11",8,0.4,0.35,0.01,"SCOUT_safe",0.35202220186747,0.72,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L11",8,0.4,0.35,0.01,"SCOUT_both",0.389391043163133,0.9,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L11",8,0.4,0.35,0.01,"SCOUT_confOnly",0.368980017298579,0.92,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L11",8,0.4,0.35,0.05,"BH",0.399012373245456,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L11",8,0.4,0.35,0.05,"Storey",0.397695784181436,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L11",8,0.4,0.35,0.05,"SCOUT_safe",0.398078400887676,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L11",8,0.4,0.35,0.05,"SCOUT_both",0.398936747499648,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L11",8,0.4,0.35,0.05,"SCOUT_confOnly",0.399566266348373,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L11",8,0.4,0.35,0.1,"BH",0.401612387205057,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L11",8,0.4,0.35,0.1,"Storey",0.400100848730152,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L11",8,0.4,0.35,0.1,"SCOUT_safe",0.399866946837928,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L11",8,0.4,0.35,0.1,"SCOUT_both",0.400716032134989,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L11",8,0.4,0.35,0.1,"SCOUT_confOnly",0.400478980198243,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L12",8,0.7,0.35,0.01,"BH",0.2405,0.28,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L12",8,0.7,0.35,0.01,"Storey",0.2755,0.32,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L12",8,0.7,0.35,0.01,"SCOUT_safe",0.331666666666667,0.39,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L12",8,0.7,0.35,0.01,"SCOUT_both",0.40897619047619,0.5,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L12",8,0.7,0.35,0.01,"SCOUT_confOnly",0.399190476190476,0.5,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L12",8,0.7,0.35,0.05,"BH",0.615580357933209,0.87,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L12",8,0.7,0.35,0.05,"Storey",0.67870193073252,0.97,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L12",8,0.7,0.35,0.05,"SCOUT_safe",0.70043335617647,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L12",8,0.7,0.35,0.05,"SCOUT_both",0.704235729136913,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L12",8,0.7,0.35,0.05,"SCOUT_confOnly",0.696607886249917,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L12",8,0.7,0.35,0.1,"BH",0.709584488312059,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L12",8,0.7,0.35,0.1,"Storey",0.700135703324377,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L12",8,0.7,0.35,0.1,"SCOUT_safe",0.702879917638896,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L12",8,0.7,0.35,0.1,"SCOUT_both",0.702222469335509,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L12",8,0.7,0.35,0.1,"SCOUT_confOnly",0.700084206936803,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L13",10,0.2,0.5,0.01,"BH",0.20073461288912,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L13",10,0.2,0.5,0.01,"Storey",0.199753832301242,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L13",10,0.2,0.5,0.01,"SCOUT_safe",0.198922218517252,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L13",10,0.2,0.5,0.01,"SCOUT_both",0.1998616813967,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L13",10,0.2,0.5,0.01,"SCOUT_confOnly",0.200138034495592,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L13",10,0.2,0.5,0.05,"BH",0.199299038975947,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L13",10,0.2,0.5,0.05,"Storey",0.199053932134956,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L13",10,0.2,0.5,0.05,"SCOUT_safe",0.199379557593084,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L13",10,0.2,0.5,0.05,"SCOUT_both",0.199993509421477,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L13",10,0.2,0.5,0.05,"SCOUT_confOnly",0.200012574882406,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L13",10,0.2,0.5,0.1,"BH",0.199565262926118,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L13",10,0.2,0.5,0.1,"Storey",0.199956848109134,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L13",10,0.2,0.5,0.1,"SCOUT_safe",0.199938670025242,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L13",10,0.2,0.5,0.1,"SCOUT_both",0.200279956120577,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L13",10,0.2,0.5,0.1,"SCOUT_confOnly",0.199913152079472,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L14",10,0.4,0.5,0.01,"BH",0.4002449434486,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L14",10,0.4,0.5,0.01,"Storey",0.400593086258401,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L14",10,0.4,0.5,0.01,"SCOUT_safe",0.399071718965881,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L14",10,0.4,0.5,0.01,"SCOUT_both",0.400915701491637,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L14",10,0.4,0.5,0.01,"SCOUT_confOnly",0.400807003086048,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L14",10,0.4,0.5,0.05,"BH",0.39966970937422,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L14",10,0.4,0.5,0.05,"Storey",0.399530749921578,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L14",10,0.4,0.5,0.05,"SCOUT_safe",0.39959444609705,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L14",10,0.4,0.5,0.05,"SCOUT_both",0.399844059063972,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L14",10,0.4,0.5,0.05,"SCOUT_confOnly",0.399611410488619,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L14",10,0.4,0.5,0.1,"BH",0.398166311646691,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L14",10,0.4,0.5,0.1,"Storey",0.398709051006757,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L14",10,0.4,0.5,0.1,"SCOUT_safe",0.398804565344588,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L14",10,0.4,0.5,0.1,"SCOUT_both",0.39972193849327,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L14",10,0.4,0.5,0.1,"SCOUT_confOnly",0.399250272659766,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L15",10,0.7,0.5,0.01,"BH",0.653232393787236,0.92,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L15",10,0.7,0.5,0.01,"Storey",0.675603058384184,0.97,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L15",10,0.7,0.5,0.01,"SCOUT_safe",0.695870639393753,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L15",10,0.7,0.5,0.01,"SCOUT_both",0.700462488371746,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L15",10,0.7,0.5,0.01,"SCOUT_confOnly",0.710555404009674,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
